word,spam_count,ham_count,total,spam_ratio
mins,43,13,56,0.768
sight,42,19,61,0.689
kindly,218,82,300,0.727
cibres,54,0,54,1.0
cooperate,29,59,88,0.33
official,381,320,701,0.544
target,916,344,1260,0.727
corrected,5,115,120,0.042
awards,97,67,164,0.591
monitoring,57,151,208,0.274
draw,694,86,780,0.89
stored,84,47,131,0.641
details,1200,1334,2534,0.474
imme,72,0,72,1.0
radar,198,28,226,0.876
msn,156,252,408,0.382
excitement,59,10,69,0.855
inherent,637,21,658,0.968
agents,221,37,258,0.857
brbr,60,0,60,1.0
finish,70,120,190,0.368
kcs,0,86,86,0.0
newswires,0,383,383,0.0
golive,71,0,71,1.0
attachment,46,225,271,0.17
allocated,5,329,334,0.015
databases,149,74,223,0.668
knight,22,63,85,0.259
facts,515,108,623,0.827
fro,91,7,98,0.929
expert,293,78,371,0.79
transfers,15,74,89,0.169
thereafter,55,54,109,0.505
albert,38,50,88,0.432
comment,16,734,750,0.021
generators,3,344,347,0.009
vendor,86,94,180,0.478
scientech,0,68,68,0.0
temporarily,32,82,114,0.281
nepool,0,67,67,0.0
double,469,191,660,0.711
face,886,325,1211,0.732
nancy,20,150,170,0.118
annua,58,0,58,1.0
systemworks,135,0,135,1.0
adr,2,49,51,0.039
oga,62,0,62,1.0
collins,18,165,183,0.098
wait,516,268,784,0.658
biosphere,104,0,104,1.0
hardy,10,75,85,0.118
sherri,3,49,52,0.058
rgsa,64,0,64,1.0
mean,144,400,544,0.265
ventures,135,86,221,0.611
clerk,17,45,62,0.274
killed,155,70,225,0.689
fancy,78,14,92,0.848
medication,431,5,436,0.989
grants,299,40,339,0.882
lost,296,729,1025,0.289
formed,49,193,242,0.202
quicken,123,8,131,0.939
renegotiate,0,130,130,0.0
color,781,120,901,0.867
viagra,1714,0,1714,1.0
belize,154,1,155,0.994
cds,420,44,464,0.905
sweet,136,22,158,0.861
elliot,30,27,57,0.526
wiggs,0,92,92,0.0
dsl,105,13,118,0.89
bother,21,31,52,0.404
brief,103,297,400,0.258
franklin,29,55,84,0.345
nfl,49,7,56,0.875
jean,25,354,379,0.066
impacts,2,65,67,0.03
nasa,44,9,53,0.83
lme,2,105,107,0.019
achieved,60,63,123,0.488
struggle,117,31,148,0.791
hitchcock,5,93,98,0.051
consensus,26,87,113,0.23
cord,49,1,50,0.98
pipeline,27,1724,1751,0.015
approaching,19,73,92,0.207
lpx,74,1,75,0.987
fleischer,0,86,86,0.0
commitments,27,155,182,0.148
gives,187,178,365,0.512
latter,34,48,82,0.415
paribas,0,105,105,0.0
track,319,420,739,0.432
hot,923,212,1135,0.813
intervention,7,214,221,0.032
correction,34,101,135,0.252
santa,102,40,142,0.718
toll,103,81,184,0.56
fgt,0,73,73,0.0
healthcare,226,21,247,0.915
year,2134,5547,7681,0.278
parties,292,493,785,0.372
questionnaire,15,62,77,0.195
rick,23,693,716,0.032
earn,314,90,404,0.777
holiday,83,325,408,0.203
river,219,182,401,0.546
way,2112,1862,3974,0.531
specialty,83,18,101,0.822
hydrocodone,93,0,93,1.0
aim,118,85,203,0.581
winnings,161,0,161,1.0
brackett,0,103,103,0.0
approach,92,565,657,0.14
wagner,6,73,79,0.076
pinnamaneni,0,159,159,0.0
rental,53,80,133,0.398
oasis,13,170,183,0.071
combat,44,10,54,0.815
owners,329,103,432,0.762
hope,627,1393,2020,0.31
pnm,0,85,85,0.0
sister,106,31,137,0.774
attach,20,82,102,0.196
judicial,25,31,56,0.446
growth,1261,749,2010,0.627
unbelievable,49,10,59,0.831
haga,67,0,67,1.0
logo,886,39,925,0.958
transmission,120,1031,1151,0.104
however,477,2007,2484,0.192
pocket,174,40,214,0.813
liability,69,211,280,0.246
cathy,19,80,99,0.192
residence,58,8,66,0.879
die,333,27,360,0.925
shiip,146,0,146,1.0
auctions,55,80,135,0.407
mandated,62,18,80,0.775
originator,21,59,80,0.263
benchmark,18,81,99,0.182
harvey,18,75,93,0.194
exec,5,118,123,0.041
fraction,150,28,178,0.843
shareholder,355,598,953,0.373
laurent,50,6,56,0.893
meaning,1078,77,1155,0.933
iaagra,127,0,127,1.0
remainder,9,114,123,0.073
automatic,93,72,165,0.564
rely,79,77,156,0.506
omega,126,1,127,0.992
mile,49,98,147,0.333
irvine,13,43,56,0.232
scheduler,0,54,54,0.0
thorough,255,50,305,0.836
mmbtu,0,2108,2108,0.0
forever,194,27,221,0.878
appointed,35,125,160,0.219
nax,81,0,81,1.0
andrea,20,168,188,0.106
tetco,0,77,77,0.0
ulead,82,0,82,1.0
alliances,27,25,52,0.519
een,67,0,67,1.0
catherine,55,43,98,0.561
feels,44,74,118,0.373
catering,32,22,54,0.593
retire,35,23,58,0.603
rolled,29,75,104,0.279
wrongfuliy,79,0,79,1.0
breakfast,46,93,139,0.331
mature,73,49,122,0.598
java,27,71,98,0.276
telecom,110,80,190,0.579
regret,109,38,147,0.741
troubles,21,134,155,0.135
devil,23,28,51,0.451
invisibie,59,0,59,1.0
amazing,252,34,286,0.881
hey,288,146,434,0.664
fool,39,14,53,0.736
letters,113,145,258,0.438
hoped,3,75,78,0.038
predicted,68,55,123,0.553
excluding,4,100,104,0.038
entity,38,416,454,0.084
qerman,52,0,52,1.0
acquiring,121,85,206,0.587
oppose,32,40,72,0.444
ubswenergy,0,71,71,0.0
pink,269,8,277,0.971
mon,169,122,291,0.581
tax,494,939,1433,0.345
excuse,39,32,71,0.549
sincerely,749,436,1185,0.632
environmental,162,166,328,0.494
brokers,45,99,144,0.312
ord,68,0,68,1.0
seasonal,9,76,85,0.106
discontinue,74,18,92,0.804
keith,11,210,221,0.05
checked,78,135,213,0.366
indeed,58,126,184,0.315
consultation,263,27,290,0.907
share,844,1765,2609,0.323
majeure,0,61,61,0.0
powerful,388,208,596,0.651
discussed,77,783,860,0.09
ranked,90,91,181,0.497
works,1026,626,1652,0.621
locations,122,212,334,0.365
clickpaper,0,64,64,0.0
loving,35,15,50,0.7
stokes,6,63,69,0.087
understanding,166,561,727,0.228
exxonmobile,51,1,52,0.981
san,132,650,782,0.169
authors,26,39,65,0.4
crenshaw,1,1125,1126,0.001
couid,435,0,435,1.0
possibie,53,0,53,1.0
dreamweaver,182,0,182,1.0
exception,16,209,225,0.071
hardly,20,42,62,0.323
viastar,80,0,80,1.0
massachusetts,28,26,54,0.519
roman,20,47,67,0.299
downward,22,76,98,0.224
following,1023,3164,4187,0.244
historical,400,241,641,0.624
fruit,39,17,56,0.696
deveiop,70,0,70,1.0
appears,59,455,514,0.115
ragga,95,0,95,1.0
cfo,12,464,476,0.025
texoma,0,54,54,0.0
specifications,36,31,67,0.537
slight,13,39,52,0.25
appearance,62,30,92,0.674
discussions,544,617,1161,0.469
repay,20,183,203,0.099
debra,16,67,83,0.193
staying,53,107,160,0.331
iit,260,0,260,1.0
conversations,11,81,92,0.12
directed,75,111,186,0.403
permanently,80,19,99,0.808
henderson,8,94,102,0.078
leave,201,543,744,0.27
northern,44,384,428,0.103
banking,472,269,741,0.637
conventional,36,15,51,0.706
women,464,272,736,0.63
dramatic,57,63,120,0.475
revisions,2,155,157,0.013
minority,25,42,67,0.373
ice,84,182,266,0.316
renewed,12,58,70,0.171
june,477,1602,2079,0.229
asked,215,1179,1394,0.154
containers,66,4,70,0.943
practically,32,34,66,0.485
france,74,144,218,0.339
ban,35,18,53,0.66
rahil,0,154,154,0.0
registering,25,29,54,0.463
expedite,83,28,111,0.748
confidential,701,607,1308,0.536
parker,18,166,184,0.098
cash,1479,2166,3645,0.406
als,49,6,55,0.891
briefly,4,132,136,0.029
address,3152,1279,4431,0.711
iogo,80,0,80,1.0
jesus,19,38,57,0.333
mayor,31,23,54,0.574
rem,99,4,103,0.961
walsh,3,71,74,0.041
lois,50,15,65,0.769
enables,65,37,102,0.637
module,12,102,114,0.105
tumbled,1,97,98,0.01
rhythm,91,2,93,0.978
begin,403,583,986,0.409
chronicle,14,222,236,0.059
generous,50,49,99,0.505
gissin,57,0,57,1.0
coveted,54,23,77,0.701
known,661,292,953,0.694
numbered,67,3,70,0.957
lonestar,0,60,60,0.0
painful,25,25,50,0.5
exposures,3,68,71,0.042
peak,44,332,376,0.117
development,940,2612,3552,0.265
hull,5,79,84,0.06
mohammed,52,2,54,0.963
ialis,77,0,77,1.0
penny,406,71,477,0.851
godbole,0,81,81,0.0
darren,5,208,213,0.023
relax,48,9,57,0.842
explosion,110,39,149,0.738
main,208,420,628,0.331
fork,85,3,88,0.966
hourahead,0,1733,1733,0.0
unproductive,51,3,54,0.944
innovation,17,61,78,0.218
mariner,6,91,97,0.062
basket,31,50,81,0.383
allocating,6,57,63,0.095
individuals,329,387,716,0.459
paulo,12,229,241,0.05
highiy,135,0,135,1.0
hardcore,91,1,92,0.989
trans,8,373,381,0.021
estoppel,0,60,60,0.0
stockholder,37,15,52,0.712
penalties,3,48,51,0.059
innovative,248,149,397,0.625
checks,66,68,134,0.493
tuesday,211,2226,2437,0.087
bses,0,73,73,0.0
hurt,54,125,179,0.302
language,140,319,459,0.305
wing,78,7,85,0.918
accredited,87,2,89,0.978
monterrey,22,98,120,0.183
troubled,13,187,200,0.065
dot,38,63,101,0.376
vanessa,39,45,84,0.464
giving,257,347,604,0.425
aluminum,37,48,85,0.435
terra,39,11,50,0.78
disc,73,12,85,0.859
ninety,112,4,116,0.966
medlcatlons,71,0,71,1.0
illustrator,249,0,249,1.0
criticized,3,52,55,0.055
unfortunate,12,38,50,0.24
pamela,11,50,61,0.18
los,591,226,817,0.723
greatest,129,83,212,0.608
fitness,59,10,69,0.855
checking,37,119,156,0.237
infusion,10,168,178,0.056
savings,327,270,597,0.548
gifts,60,47,107,0.561
accrual,13,64,77,0.169
isye,0,61,61,0.0
deregulation,0,286,286,0.0
commodity,47,819,866,0.054
enpower,0,280,280,0.0
orders,728,293,1021,0.713
decreased,13,50,63,0.206
generates,50,32,82,0.61
booklet,46,5,51,0.902
mil,35,26,61,0.574
hereto,29,70,99,0.293
exploring,23,60,83,0.277
porter,11,55,66,0.167
jonathan,19,119,138,0.138
mgltd,0,52,52,0.0
breakthrough,66,13,79,0.835
domestic,124,186,310,0.4
issuing,11,137,148,0.074
entry,138,265,403,0.342
outside,181,718,899,0.201
ground,211,156,367,0.575
whose,231,314,545,0.424
boxes,91,39,130,0.7
nymex,6,307,313,0.019
easy,1350,239,1589,0.85
whalley,0,323,323,0.0
differently,7,58,65,0.108
sharon,11,111,122,0.09
thank,1478,2164,3642,0.406
gateway,143,32,175,0.817
sharply,43,130,173,0.249
knew,218,108,326,0.669
fallon,3,107,110,0.027
memory,129,106,235,0.549
balance,184,1161,1345,0.137
toby,8,55,63,0.127
zero,58,322,380,0.153
masters,75,38,113,0.664
ubsw,0,204,204,0.0
maria,40,175,215,0.186
involuntary,1,73,74,0.014
garcia,16,79,95,0.168
aof,70,0,70,1.0
finalized,27,132,159,0.17
modification,7,47,54,0.13
bailout,4,140,144,0.028
increase,1067,895,1962,0.544
notices,35,84,119,0.294
philosophy,41,30,71,0.577
says,212,1291,1503,0.141
dan,67,324,391,0.171
modifications,20,88,108,0.185
sincere,76,11,87,0.874
bugs,13,37,50,0.26
observers,2,78,80,0.025
mobil,10,143,153,0.065
paso,18,925,943,0.019
ess,65,8,73,0.89
slone,0,81,81,0.0
teiecommunications,54,0,54,1.0
contains,868,239,1107,0.784
tejas,0,99,99,0.0
freeman,57,47,104,0.548
goais,138,0,138,1.0
lange,65,11,76,0.855
profitability,51,89,140,0.364
abel,15,68,83,0.181
awesome,244,23,267,0.914
approached,29,95,124,0.234
speed,308,307,615,0.501
compiete,107,0,107,1.0
cleburne,0,114,114,0.0
expires,219,96,315,0.695
nee,76,1,77,0.987
mechanism,28,74,102,0.275
dreams,108,7,115,0.939
component,42,128,170,0.247
whatever,180,226,406,0.443
incredibly,201,32,233,0.863
received,1291,1634,2925,0.441
errors,119,200,319,0.373
quotes,80,92,172,0.465
teresa,3,117,120,0.025
native,137,30,167,0.82
glen,16,80,96,0.167
herbert,32,18,50,0.64
trace,88,4,92,0.957
adsl,68,0,68,1.0
strategist,8,52,60,0.133
tota,65,0,65,1.0
blessed,58,9,67,0.866
lasts,212,13,225,0.942
put,577,1568,2145,0.269
itc,84,23,107,0.785
cases,107,232,339,0.316
attained,47,6,53,0.887
prlce,95,0,95,1.0
flights,166,78,244,0.68
admin,27,116,143,0.189
coalition,15,40,55,0.273
voluntary,14,50,64,0.219
pharmacies,58,0,58,1.0
hickerson,0,109,109,0.0
student,88,308,396,0.222
ees,0,2366,2366,0.0
afp,1,67,68,0.015
dell,236,79,315,0.749
erections,247,0,247,1.0
diabetes,90,19,109,0.826
geek,78,2,80,0.975
debbie,22,188,210,0.105
huifeng,60,0,60,1.0
thirty,171,31,202,0.847
gandy,0,109,109,0.0
designing,21,31,52,0.404
greeting,43,8,51,0.843
qualified,230,79,309,0.744
woodlands,0,76,76,0.0
types,150,193,343,0.437
cst,4,138,142,0.028
wholly,141,44,185,0.762
imited,247,0,247,1.0
disclosed,21,382,403,0.052
merit,10,48,58,0.172
probable,34,26,60,0.567
featuring,77,26,103,0.748
thinking,272,228,500,0.544
rest,285,395,680,0.419
perm,6,88,94,0.064
style,346,107,453,0.764
recovered,23,40,63,0.365
automated,142,65,207,0.686
curran,19,32,51,0.373
shalesh,0,121,121,0.0
processing,533,228,761,0.7
plays,78,65,143,0.545
scroll,38,21,59,0.644
rare,50,32,82,0.61
deveiopment,188,0,188,1.0
purposes,441,285,726,0.607
marlene,5,48,53,0.094
left,364,883,1247,0.292
include,1294,1387,2681,0.483
admit,20,32,52,0.385
apache,13,157,170,0.076
specializes,60,25,85,0.706
newco,0,96,96,0.0
bidding,13,109,122,0.107
lauderdale,51,2,53,0.962
baa,3,117,120,0.025
